,date_time_customer,bigbuy_order_id,delta
714,2019-07-03T19:49:35.000+02:00,11522602,3.0
717,2019-06-28T19:45:23.000+02:00,11515640,3.0
725,2019-06-28T20:33:07.000+02:00,11515680,3.0
743,2019-06-24T15:49:45.000+02:00,11508831,3.0
756,2019-06-28T15:00:16.000+02:00,11515301,3.0
772,2019-07-15T10:06:57.000+02:00,11541582,3.0
782,2019-06-25T13:56:48.000+02:00,11510368,3.0
798,2019-04-28T23:10:56.000+02:00,11441396,3.0
801,2019-06-25T18:40:53.000+02:00,11512193,4.0
807,2019-06-26T22:53:02.000+02:00,11512905,3.0
827,2019-06-24T23:57:41.000+02:00,11509432,3.0
833,2019-06-26T17:17:42.000+02:00,11512429,3.0
835,2019-06-27T09:49:28.000+02:00,11513337,3.0
839,2019-04-17T12:23:39.000+02:00,11431197,6.0
844,2019-06-26T22:32:53.000+02:00,11512904,5.0
874,2019-05-13T09:33:51.000+02:00,11457043,4.0
886,2019-06-24T17:31:43.000+02:00,11508963,3.0
916,2019-07-02T20:47:04.000+02:00,11520922,3.0
919,2019-06-24T22:19:13.000+02:00,11509262,3.0
948,2019-06-26T15:17:26.000+02:00,11512195,3.0
949,2019-07-01T20:42:09.000+02:00,11518999,4.0
959,2019-07-02T16:03:29.000+02:00,11520476,3.0
960,2019-06-28T21:10:41.000+02:00,11515702,3.0
973,2019-06-26T13:38:50.000+02:00,11512007,3.0
1006,2019-06-24T13:13:28.000+02:00,11508557,3.0
1049,2019-04-28T16:53:49.000+02:00,11440905,4.0
1060,2019-07-02T02:02:15.000+02:00,11519405,3.0
1087,2019-05-14T22:44:09.000+02:00,11459511,3.0
1115,2019-08-05T17:23:57.000+02:00,11567955,4.0
1126,2019-07-02T19:51:36.000+02:00,11520843,3.0
1130,2019-06-26T23:52:14.000+02:00,11513131,3.0
1131,2019-04-30T09:57:34.000+02:00,11443048,3.0
1144,2019-07-03T18:08:55.000+02:00,11522478,3.0
1154,2019-06-26T09:10:55.000+02:00,11511488,3.0
1160,2019-06-26T14:02:13.000+02:00,11512008,4.0
1165,2019-06-25T19:42:57.000+02:00,11510918,3.0
1172,2019-04-17T21:27:44.000+02:00,11431717,4.0
1184,2019-06-26T12:07:44.000+02:00,11511759,3.0
1194,2019-06-23T13:54:30.000+02:00,11507391,3.0
1196,2019-06-26T14:41:32.000+02:00,11512097,3.0
1197,2019-06-27T19:57:56.000+02:00,11514313,3.0
1203,2019-06-26T14:05:33.000+02:00,11512009,3.0
1222,2019-06-26T17:14:05.000+02:00,11512423,3.0
1227,2019-06-25T13:28:32.000+02:00,11510261,3.0
1230,2019-06-23T22:45:02.000+02:00,11507783,3.0
1233,2019-04-30T14:58:13.000+02:00,11443470,3.0
1289,2019-05-14T15:35:36.000+02:00,11459111,3.0
1295,2019-04-18T13:26:05.000+02:00,11432239,4.0
1299,2019-06-23T20:55:36.000+02:00,11507703,3.0
1301,2019-06-28T15:12:35.000+02:00,11515331,3.0
1317,2019-04-17T14:24:14.000+02:00,11431345,4.0
1326,2019-06-26T19:59:27.000+02:00,11512648,3.0
1331,2019-04-25T09:28:20.000+02:00,11438012,3.0
1334,2019-06-26T08:21:21.000+02:00,11511340,3.0
1335,2019-07-02T19:01:05.000+02:00,11520773,3.0
1340,2019-06-22T17:02:29.000+02:00,11506981,3.0
1347,2019-04-25T22:13:12.000+02:00,11438888,3.0
1392,2019-06-26T08:01:02.000+02:00,11511337,4.0
1394,2019-06-30T15:50:08.000+02:00,11516836,3.0
1408,2019-07-01T20:38:05.000+02:00,11518992,4.0
1410,2019-07-25T23:59:18.000+02:00,11554443,3.0
1412,2019-06-24T15:29:01.000+02:00,11508727,3.0
